"cod_producto";"fecha";"ventas";"cod_punto_venta"
"A";2020-09-15;0,260842335906573;"cod_pv_5803"
"A";2020-10-03;0,270867240045403;"cod_pv_5803"
"A";2022-01-07;0,2570784790969;"cod_pv_2574"
"A";2022-07-06;0,166767939733113;"cod_pv_5803"
"A";2019-05-02;0,425797525398269;"cod_pv_2574"
"A";2021-06-09;0,292575630086007;"cod_pv_2574"
"A";2022-05-31;0,114683841675185;"cod_pv_5803"
"A";2019-12-07;0,27203959814546;"cod_pv_5803"
"A";2020-06-21;0,289482095561868;"cod_pv_5803"
"A";2019-04-10;0,388038107285449;"cod_pv_2574"
"A";2021-08-28;0,229977015908154;"cod_pv_2574"
"A";2022-05-21;0,291536545835475;"cod_pv_2574"
"A";2022-05-16;0,226154428249538;"cod_pv_5803"
"A";2019-05-30;0,310641578052733;"cod_pv_2574"
"A";2022-04-09;0,186508846334122;"cod_pv_5803"
"A";2020-12-09;0,183116010368254;"cod_pv_5803"
"A";2020-04-18;0,365626076496931;"cod_pv_2574"
"A";2020-03-14;0,346537985870713;"cod_pv_2574"
"A";2019-05-06;0,406416345247037;"cod_pv_5803"
"A";2020-01-20;0,272276780420039;"cod_pv_2574"
"A";2022-05-08;0,479722044962983;"cod_pv_2574"
"A";2022-03-03;0,258954477944872;"cod_pv_2574"
"A";2019-04-25;0,336815206772119;"cod_pv_5803"
"A";2019-05-24;0,415972532033725;"cod_pv_2574"
"A";2020-02-28;0,357436511387573;"cod_pv_2574"
"A";2020-01-25;0,275561190203243;"cod_pv_2574"
"A";2021-07-30;0,295563562025988;"cod_pv_5803"
"A";2021-12-28;0,30367237221805;"cod_pv_2574"
"A";2021-08-25;0,319578832046714;"cod_pv_5803"
"A";2022-07-14;0,165448754510699;"cod_pv_2574"
"A";2020-11-24;0,32302813998272;"cod_pv_2574"
"A";2019-05-27;0,396641611935916;"cod_pv_5803"
"A";2021-05-14;0,410180202056709;"cod_pv_5803"
"A";2021-02-06;0,336067517887497;"cod_pv_2574"
"A";2020-05-05;0,605913744712812;"cod_pv_2574"
"A";2021-11-03;0,232820379604583;"cod_pv_5803"
"A";2019-07-14;0,289541391130512;"cod_pv_2574"
"A";2020-04-09;0,382389780832284;"cod_pv_2574"
"A";2021-09-17;0,296910983233472;"cod_pv_5803"
"A";2020-09-26;0,291753398200803;"cod_pv_2574"
"A";2021-01-01;0,365105404932262;"cod_pv_2574"
"A";2019-08-09;0,282757978077581;"cod_pv_5803"
"A";2021-12-04;0,224256970052914;"cod_pv_2574"
"A";2020-12-08;0,267338306631503;"cod_pv_2574"
"A";2021-08-16;0,322170330756329;"cod_pv_5803"
"A";2019-12-28;0,286299900044613;"cod_pv_5803"
"A";2020-09-29;0,318816460449856;"cod_pv_5803"
"A";2020-01-21;0,351715900812632;"cod_pv_2574"
"A";2021-03-08;0,300591826247042;"cod_pv_2574"
"A";2022-05-05;0,199366384495056;"cod_pv_5803"
"A";2021-05-28;0,334648941997639;"cod_pv_5803"
"A";2020-05-02;0,322169766036628;"cod_pv_5803"
"A";2019-12-25;0,27767324188639;"cod_pv_2574"
"A";2020-12-05;0,175180004404814;"cod_pv_5803"
"A";2019-03-17;0,35013525036848;"cod_pv_2574"
"A";2021-11-27;0,215573275204852;"cod_pv_5803"
"A";2019-10-12;0,255764376351798;"cod_pv_2574"
"A";2020-05-26;0,426201299984753;"cod_pv_2574"
"A";2021-08-24;0,352705854449144;"cod_pv_5803"
"A";2021-06-18;0,324348454644537;"cod_pv_2574"
"A";2020-07-08;0,290054156619362;"cod_pv_2574"
"A";2019-07-08;0,363180840189972;"cod_pv_2574"
"A";2019-11-01;0,23473139107404;"cod_pv_2574"
"A";2022-07-18;0,215050909481079;"cod_pv_5803"
"A";2021-04-28;0,351504130924616;"cod_pv_5803"
"A";2022-05-27;0,19690590075616;"cod_pv_5803"
"A";2022-02-23;0,25147307134104;"cod_pv_5803"
"A";2021-03-04;0,222529492486404;"cod_pv_5803"
"A";2021-07-15;0,2143619514454;"cod_pv_2574"
"A";2022-07-03;0,322465114440447;"cod_pv_2574"
"A";2020-08-19;0,22812868832555;"cod_pv_2574"
"A";2022-01-25;0,304744774930963;"cod_pv_5803"
"A";2021-10-13;0,248210120906488;"cod_pv_2574"
"A";2020-01-08;0,202177559168507;"cod_pv_5803"
"A";2020-06-18;0,271938513318914;"cod_pv_5803"
"A";2022-05-23;0,190992720763049;"cod_pv_5803"
"A";2022-04-22;0,204704679832165;"cod_pv_5803"
"A";2021-05-15;0,44618785965586;"cod_pv_2574"
"A";2019-12-30;0,2836683062362;"cod_pv_5803"
"A";2021-06-16;0,230139090462449;"cod_pv_5803"
"A";2021-05-26;0,368950016659231;"cod_pv_2574"
"A";2022-03-18;0,245768272917737;"cod_pv_5803"
"A";2022-03-21;0,233938524613308;"cod_pv_2574"
"A";2020-10-13;0,263141309810875;"cod_pv_5803"
"A";2022-06-12;0,200010164954625;"cod_pv_2574"
"A";2022-01-10;0,286215192089406;"cod_pv_2574"
"A";2022-06-13;0,300988259477408;"cod_pv_2574"
"A";2021-05-29;0,345570056302554;"cod_pv_2574"
"A";2020-06-09;0,340104699032635;"cod_pv_5803"
"A";2019-12-29;0,302736631672869;"cod_pv_2574"
"A";2021-10-06;0,223848112989118;"cod_pv_2574"
"A";2020-01-07;0,304010074599473;"cod_pv_2574"
"A";2022-04-25;0,2281083584163;"cod_pv_5803"
"A";2020-02-07;0,398997057810356;"cod_pv_2574"
"A";2020-07-18;0,288519248471021;"cod_pv_5803"
"A";2021-09-26;0,133695695141716;"cod_pv_5803"
"A";2022-03-25;0,308188435669955;"cod_pv_2574"
"A";2020-10-15;0,220228259703296;"cod_pv_2574"
"A";2021-10-13;0,200786089824316;"cod_pv_5803"
"A";2021-06-19;0,29827252243349;"cod_pv_2574"
"A";2021-06-26;0,335019398121742;"cod_pv_2574"
"A";2022-05-11;0,381679363447953;"cod_pv_2574"
"A";2021-02-20;0,287951705171138;"cod_pv_2574"
"A";2019-07-25;0,155842307670588;"cod_pv_2574"
"A";2021-01-20;0,246492243574902;"cod_pv_5803"
"A";2020-09-13;0,358069562172815;"cod_pv_2574"
"A";2019-04-03;0,239020437205993;"cod_pv_5803"
"A";2019-04-12;0,396829098876772;"cod_pv_2574"
"A";2021-12-26;0,50781685010645;"cod_pv_2574"
"A";2020-10-17;0,27108748072894;"cod_pv_5803"
"A";2020-11-06;0,264082132833368;"cod_pv_5803"
"A";2019-11-30;0,284130246951925;"cod_pv_2574"
